State,Total Land Area of State,Privately Held Agricultural Land,Foreign Held Agricultural Land,Proportion of Foreign Held to Privately Held Agricultural Land
Alabama,"32,476,160","28,760,792","1,756,180",6.1
Alaska,"366,048,640","57,446,991","270,325",0.5
Arizona,"72,726,400","7,833,746","282,890",3.6
Arkansas,"33,323,520","28,129,519","1,105,014",3.9
California,"99,813,760","41,823,058","1,096,042",2.6
Colorado,"66,379,520","36,521,116","1,480,872",4.1
Connecticut,"3,100,800","1,516,094","1,861",0.1
Delaware,"1,250,560","920,172","2,814",0.3
Florida,"34,513,280","21,849,568","1,266,436",5.8
Georgia,"37,059,840","30,823,101","1,090,729",3.5
Hawaii,"4,110,720","1,803,038","166,424",9.2
Idaho,"52,958,080","15,889,108","117,265",0.7
Illinois,"35,573,760","30,536,400","635,395",2.1
Indiana,"22,954,880","19,752,052","324,012",1.6
Iowa,"35,756,160","33,340,369","386,597",1.2
Kansas,"52,361,600","49,188,971","937,964",1.9
Kentucky,"25,425,920","22,089,269","78,631",0.4
Louisiana,"27,879,680","23,870,712","1,372,479",5.7
Maine,"19,751,680","17,955,835","3,389,160",18.9
Maryland,"6,255,360","4,260,408","51,391",1.2
Massachusetts,"5,017,600","2,306,458","4,796",0.2
Michigan,"36,354,560","24,098,445","1,341,170",5.6
Minnesota,"50,950,400","34,530,621","520,741",1.5
Mississippi,"30,020,480","26,201,244","720,412",2.7
Missouri,"44,087,040","36,030,827","345,658",1
Montana,"93,153,280","54,197,503","800,086",1.5
Nebraska,"49,198,080","45,610,153","517,613",1.1
Nevada,"70,288,640","9,753,158","508,142",5.2
New Hampshire,"5,739,520","4,251,738","16,835",0.4
New Jersey,"4,746,880","1,969,337","14,441",0.7
New Mexico,"77,667,840","33,526,570","1,176,637",3.5
New York,"30,216,960","22,328,715","677,153",3
North Carolina,"31,175,040","25,115,607","507,445",2
North Dakota,"44,144,640","38,548,498","302,715",0.8
Ohio,"26,206,720","21,566,008","485,433",2.3
Oklahoma,"43,946,880","38,326,752","1,145,797",3
Oregon,"61,438,080","25,420,956","1,215,126",4.8
Pennsylvania,"28,682,880","20,388,401","331,215",1.6
Puerto Rico,0,0,"2,866",0
Rhode Island,"668,800","307,509",15,0
South Carolina,"19,269,760","15,570,166","481,475",3.1
South Dakota,"48,566,400","37,939,910","306,601",0.8
Tennessee,"26,378,880","21,324,793","422,016",2
Texas,"167,550,080","153,626,848","4,432,142",2.9
Utah,"52,572,160","11,438,482","119,192",1
Vermont,"5,920,000","5,029,649","81,634",1.6
Virginia,"25,340,160","20,577,489","235,350",1.1
Washington,"42,588,160","22,014,053","1,520,603",6.9
West Virginia,"15,409,920","13,238,151","245,119",1.9
Wisconsin,"34,758,400","25,855,696","476,241",1.8
Wyoming,"62,144,000","25,067,954","396,352",1.6
TOTAL,"2,263,922,560","1,290,472,010","35,163,501",2.7
