State,Total Land Area of State,Privately Held Agricultural Land,Foreign Held Agricultural Land,Proportion of Foreign Held to Privately Held Agricultural Land
Alabama,"32,476,160","28,760,792","1,555,745",5.4
Alaska,"366,048,640","57,446,991","270,325",0.5
Arizona,"72,726,400","7,833,746","282,836",3.6
Arkansas,"33,323,520","28,129,519","829,990",3
California,"99,813,760","41,823,058","1,055,971",2.5
Colorado,"66,379,520","36,521,116","1,034,030",2.8
Connecticut,"3,100,800","1,516,094","1,269",0.1
Delaware,"1,250,560","920,172","2,779",0.3
Florida,"34,513,280","21,849,568","1,154,855",5.3
Georgia,"37,059,840","30,823,101","911,270",3
Hawaii,"4,110,720","1,803,038","158,887",8.8
Idaho,"52,958,080","15,889,108","95,282",0.6
Illinois,"35,573,760","30,536,400","383,243",1.3
Indiana,"22,954,880","19,752,052","232,684",1.2
Iowa,"35,756,160","33,340,369","234,814",0.7
Kansas,"52,361,600","49,188,971","524,816",1.1
Kentucky,"25,425,920","22,089,269","65,669",0.3
Louisiana,"27,879,680","23,870,712","986,475",4.1
Maine,"19,751,680","17,955,835","2,911,592",16.2
Maryland,"6,255,360","4,260,408","48,303",1.1
Massachusetts,"5,017,600","2,306,458","4,780",0.2
Michigan,"36,354,560","24,098,445","916,124",3.8
Minnesota,"50,950,400","34,530,621","409,014",1.2
Mississippi,"30,020,480","26,201,244","623,716",2.4
Missouri,"44,087,040","36,030,827","212,414",0.6
Montana,"93,153,280","54,197,503","574,347",1.1
Nebraska,"49,198,080","45,610,153","87,108",0.2
Nevada,"70,288,640","9,753,158","505,767",5.2
New Hampshire,"5,739,520","4,251,738","12,840",0.3
New Jersey,"4,746,880","1,969,337","14,274",0.7
New Mexico,"77,667,840","33,526,570","982,020",2.9
New York,"30,216,960","22,328,715","414,501",1.9
North Carolina,"31,175,040","25,115,607","451,751",1.8
North Dakota,"44,144,640","38,548,498","105,301",0.3
Ohio,"26,206,720","21,566,008","418,989",1.9
Oklahoma,"43,946,880","38,326,752","318,739",0.8
Oregon,"61,438,080","25,420,956","788,254",3.1
Pennsylvania,"28,682,880","20,388,401","208,279",1
Puerto Rico,NA,NA,760,NEG
Rhode Island,"668,800","307,509",15,NEG
South Carolina,"19,269,760","15,570,166","396,077",2.5
South Dakota,"48,566,400","37,939,910","113,212",0.3
Tennessee,"26,378,880","21,324,793","361,736",1.7
Texas,"167,550,080","153,626,848","2,885,477",1.9
Utah,"52,572,160","11,438,482","87,680",0.8
Vermont,"5,920,000","5,029,649","77,401",1.5
Virginia,"25,340,160","20,577,489","140,416",0.7
Washington,"42,588,160","22,014,053","1,665,301",7.6
West Virginia,"15,409,920","13,238,151","82,794",0.6
Wisconsin,"34,758,400","25,855,696","224,805",0.9
Wyoming,"62,144,000","25,067,954","313,828",1.3
TOTAL,"2,263,922,560","1,290,472,010","26,138,555",2
