State,Total Land Area of State,Privately Held Agricultural Land,Foreign Held Agricultural Land,Proportion of Foreign Held to Privately Held Agricultural Land
Alabama,"32,476,160","28,760,792","1,551,024",5.4
Alaska,"366,048,640","57,446,991","270,325",0.5
Arizona,"72,726,400","7,833,746","285,955",3.7
Arkansas,"33,323,520","28,129,519","865,120",3.1
California,"99,813,760","41,823,058","1,072,496",2.6
Colorado,"66,379,520","36,521,116","946,878",2.6
Connecticut,"3,100,800","1,516,094","1,269",0.1
Delaware,"1,250,560","920,172","2,814",0.3
Florida,"34,513,280","21,849,568","1,178,382",5.4
Georgia,"37,059,840","30,823,101","971,314",3.2
Hawaii,"4,110,720","1,803,038","158,529",8.8
Idaho,"52,958,080","15,889,108","99,090",0.6
Illinois,"35,573,760","30,536,400","422,939",1.4
Indiana,"22,954,880","19,752,052","268,862",1.4
Iowa,"35,756,160","33,340,369","245,096",0.7
Kansas,"52,361,600","49,188,971","543,913",1.1
Kentucky,"25,425,920","22,089,269","67,293",0.3
Louisiana,"27,879,680","23,870,712","1,200,917",5
Maine,"19,751,680","17,955,835","2,968,910",16.5
Maryland,"6,255,360","4,260,408","49,037",1.2
Massachusetts,"5,017,600","2,306,458","4,796",0.2
Michigan,"36,354,560","24,098,445","904,307",3.8
Minnesota,"50,950,400","34,530,621","391,809",1.1
Mississippi,"30,020,480","26,201,244","645,509",2.5
Missouri,"44,087,040","36,030,827","267,777",0.7
Montana,"93,153,280","54,197,503","586,148",1.1
Nebraska,"49,198,080","45,610,153","132,870",0.3
Nevada,"70,288,640","9,753,158","509,222",5.2
New Hampshire,"5,739,520","4,251,738","15,985",0.4
New Jersey,"4,746,880","1,969,337","14,441",0.7
New Mexico,"77,667,840","33,526,570","1,027,181",3.1
New York,"30,216,960","22,328,715","531,735",2.4
North Carolina,"31,175,040","25,115,607","504,953",2
North Dakota,"44,144,640","38,548,498","118,522",0.3
Ohio,"26,206,720","21,566,008","408,813",1.9
Oklahoma,"43,946,880","38,326,752","386,397",1
Oregon,"61,438,080","25,420,956","511,438",2
Pennsylvania,"28,682,880","20,388,401","215,288",1.1
Puerto Rico,NA,NA,760,NEG
Rhode Island,"668,800","307,509",15,NEG
South Carolina,"19,269,760","15,570,166","430,602",2.8
South Dakota,"48,566,400","37,939,910","113,346",0.3
Tennessee,"26,378,880","21,324,793","365,317",1.7
Texas,"167,550,080","153,626,848","2,972,205",1.9
Utah,"52,572,160","11,438,482","106,159",0.9
Vermont,"5,920,000","5,029,649","79,787",1.6
Virginia,"25,340,160","20,577,489","199,723",1
Washington,"42,588,160","22,014,053","1,412,223",6.4
West Virginia,"15,409,920","13,238,151","88,094",0.7
Wisconsin,"34,758,400","25,855,696","357,135",1.4
Wyoming,"62,144,000","25,067,954","309,896",1.2
TOTAL,"2,263,922,560","1,290,472,010","26,782,617",2.1
