State,Total Land Area of State,Privately Held Agricultural Land,Foreign Held Agricultural Land,Proportion of Foreign Held to Privately Held Agricultural Land
Alabama,"32,476,160","28,760,792","1,560,515",5.4
Alaska,"366,048,640","57,446,991","270,325",0.5
Arizona,"72,726,400","7,833,746","281,669",3.6
Arkansas,"33,323,520","28,129,519","858,398",3.1
California,"99,813,760","41,823,058","1,061,595",2.5
Colorado,"66,379,520","36,521,116","1,024,389",2.8
Connecticut,"3,100,800","1,516,094","1,269",0.1
Delaware,"1,250,560","920,172","2,779",0.3
Florida,"34,513,280","21,849,568","1,177,897",5.4
Georgia,"37,059,840","30,823,101","954,402",3.1
Hawaii,"4,110,720","1,803,038","158,877",8.8
Idaho,"52,958,080","15,889,108","97,106",0.6
Illinois,"35,573,760","30,536,400","419,051",1.4
Indiana,"22,954,880","19,752,052","244,940",1.2
Iowa,"35,756,160","33,340,369","253,787",0.8
Kansas,"52,361,600","49,188,971","512,095",1
Kentucky,"25,425,920","22,089,269","66,908",0.3
Louisiana,"27,879,680","23,870,712","1,016,558",4.3
Maine,"19,751,680","17,955,835","2,969,559",16.5
Maryland,"6,255,360","4,260,408","48,641",1.1
Massachusetts,"5,017,600","2,306,458","4,780",0.2
Michigan,"36,354,560","24,098,445","917,424",3.8
Minnesota,"50,950,400","34,530,621","438,951",1.3
Mississippi,"30,020,480","26,201,244","644,128",2.5
Missouri,"44,087,040","36,030,827","256,442",0.7
Montana,"93,153,280","54,197,503","574,301",1.1
Nebraska,"49,198,080","45,610,153","134,073",0.3
Nevada,"70,288,640","9,753,158","509,222",5.2
New Hampshire,"5,739,520","4,251,738","15,985",0.4
New Jersey,"4,746,880","1,969,337","14,441",0.7
New Mexico,"77,667,840","33,526,570","981,860",2.9
New York,"30,216,960","22,328,715","423,500",1.9
North Carolina,"31,175,040","25,115,607","504,840",2
North Dakota,"44,144,640","38,548,498","104,119",0.3
Ohio,"26,206,720","21,566,008","411,846",1.9
Oklahoma,"43,946,880","38,326,752","325,605",0.8
Oregon,"61,438,080","25,420,956","488,998",1.9
Pennsylvania,"28,682,880","20,388,401","213,922",1
Puerto Rico,NA,NA,760,NEG
Rhode Island,"668,800","307,509",15,NEG
South Carolina,"19,269,760","15,570,166","388,087",2.5
South Dakota,"48,566,400","37,939,910","113,199",0.3
Tennessee,"26,378,880","21,324,793","362,916",1.7
Texas,"167,550,080","153,626,848","2,886,497",1.9
Utah,"52,572,160","11,438,482","106,159",0.9
Vermont,"5,920,000","5,029,649","77,134",1.5
Virginia,"25,340,160","20,577,489","153,805",0.7
Washington,"42,588,160","22,014,053","1,394,532",6.3
West Virginia,"15,409,920","13,238,151","82,794",0.6
Wisconsin,"34,758,400","25,855,696","349,140",1.4
Wyoming,"62,144,000","25,067,954","307,484",1.2
TOTAL,"2,263,922,560","1,290,472,010","26,167,722",2
