State,Total Land Area of State,Privately Held Agricultural Land,Foreign Held Agricultural Land,Proportion of Foreign Held to Privately Held Agricultural Land
Alabama,"32,476,160","28,760,792","1,780,837",6.2
Alaska,"366,048,640","57,446,991","270,325",0.5
Arizona,"72,726,400","7,833,746","285,106",3.6
Arkansas,"33,323,520","28,129,519","1,131,598",4
California,"99,813,760","41,823,058","1,136,206",2.7
Colorado,"66,379,520","36,521,116","1,766,890",4.8
Connecticut,"3,100,800","1,516,094","1,861",0.1
Delaware,"1,250,560","920,172","2,814",0.3
Florida,"34,513,280","21,849,568","1,272,474",5.8
Georgia,"37,059,840","30,823,101","1,120,314",3.6
Hawaii,"4,110,720","1,803,038","166,424",9.2
Idaho,"52,958,080","15,889,108","119,371",0.8
Illinois,"35,573,760","30,536,400","799,144",2.6
Indiana,"22,954,880","19,752,052","401,747",2
Iowa,"35,756,160","33,340,369","549,157",1.6
Kansas,"52,361,600","49,188,971","1,117,777",2.3
Kentucky,"25,425,920","22,089,269","89,494",0.4
Louisiana,"27,879,680","23,870,712","1,387,515",5.8
Maine,"19,751,680","17,955,835","3,504,096",19.5
Maryland,"6,255,360","4,260,408","55,041",1.3
Massachusetts,"5,017,600","2,306,458","4,980",0.2
Michigan,"36,354,560","24,098,445","1,361,819",5.7
Minnesota,"50,950,400","34,530,621","535,772",1.6
Mississippi,"30,020,480","26,201,244","727,906",2.8
Missouri,"44,087,040","36,030,827","393,546",1.1
Montana,"93,153,280","54,197,503","843,178",1.6
Nebraska,"49,198,080","45,610,153","690,692",1.5
Nevada,"70,288,640","9,753,158","510,707",5.2
New Hampshire,"5,739,520","4,251,738","13,690",0.3
New Jersey,"4,746,880","1,969,337","14,441",0.7
New Mexico,"77,667,840","33,526,570","1,225,808",3.7
New York,"30,216,960","22,328,715","736,569",3.3
North Carolina,"31,175,040","25,115,607","518,429",2.1
North Dakota,"44,144,640","38,548,498","314,626",0.8
Ohio,"26,206,720","21,566,008","509,173",2.4
Oklahoma,"43,946,880","38,326,752","1,529,397",4
Oregon,"61,438,080","25,420,956","1,167,110",4.6
Pennsylvania,"28,682,880","20,388,401","340,641",1.7
Puerto Rico,0,0,"2,866",0
Rhode Island,"668,800","307,509",15,0
South Carolina,"19,269,760","15,570,166","484,175",3.1
South Dakota,"48,566,400","37,939,910","356,579",0.9
Tennessee,"26,378,880","21,324,793","427,288",2
Texas,"167,550,080","153,626,848","4,719,144",3.1
Utah,"52,572,160","11,438,482","127,734",1.1
Vermont,"5,920,000","5,029,649","81,634",1.6
Virginia,"25,340,160","20,577,489","253,141",1.2
Washington,"42,588,160","22,014,053","1,569,130",7.1
West Virginia,"15,409,920","13,238,151","248,733",1.9
Wisconsin,"34,758,400","25,855,696","502,051",1.9
Wyoming,"62,144,000","25,067,954","426,617",1.7
TOTAL,"2,263,922,560","1,290,472,010","37,595,779",2.9
