State,Total Land Area of State,Privately Held Agricultural Land,Foreign Held Agricultural Land,Proportion of Foreign Held to Privately Held Agricultural Land
Alabama,"32,476,160","28,760,792","1,555,616",5.4
Alaska,"366,048,640","57,446,991","270,325",0.5
Arizona,"72,726,400","7,833,746","273,376",3.5
Arkansas,"33,323,520","28,129,519","780,554",2.8
California,"99,813,760","41,823,058","1,033,533",2.5
Colorado,"66,379,520","36,521,116","982,983",2.7
Connecticut,"3,100,800","1,516,094","1,269",0.1
Delaware,"1,250,560","920,172","2,779",0.3
Florida,"34,513,280","21,849,568","1,154,712",5.3
Georgia,"37,059,840","30,823,101","887,910",2.9
Hawaii,"4,110,720","1,803,038","158,887",8.8
Idaho,"52,958,080","15,889,108","89,493",0.6
Illinois,"35,573,760","30,536,400","391,291",1.3
Indiana,"22,954,880","19,752,052","225,847",1.1
Iowa,"35,756,160","33,340,369","225,985",0.7
Kansas,"52,361,600","49,188,971","530,363",1.1
Kentucky,"25,425,920","22,089,269","64,877",0.3
Louisiana,"27,879,680","23,870,712","945,608",4
Maine,"19,751,680","17,955,835","2,877,965",16
Maryland,"6,255,360","4,260,408","46,209",1.1
Massachusetts,"5,017,600","2,306,458","4,780",0.2
Michigan,"36,354,560","24,098,445","815,029",3.4
Minnesota,"50,950,400","34,530,621","403,838",1.2
Mississippi,"30,020,480","26,201,244","600,456",2.3
Missouri,"44,087,040","36,030,827","220,362",0.6
Montana,"93,153,280","54,197,503","570,062",1.1
Nebraska,"49,198,080","45,610,153","68,384",0.1
Nevada,"70,288,640","9,753,158","505,767",5.2
New Hampshire,"5,739,520","4,251,738","12,840",0.3
New Jersey,"4,746,880","1,969,337","14,274",0.7
New Mexico,"77,667,840","33,526,570","982,000",2.9
New York,"30,216,960","22,328,715","412,890",1.8
North Carolina,"31,175,040","25,115,607","438,260",1.7
North Dakota,"44,144,640","38,548,498","99,043",0.3
Ohio,"26,206,720","21,566,008","411,507",1.9
Oklahoma,"43,946,880","38,326,752","321,350",0.8
Oregon,"61,438,080","25,420,956","785,655",3.1
Pennsylvania,"28,682,880","20,388,401","208,237",1
Puerto Rico,NA,NA,760,NEG
Rhode Island,"668,800","307,509",15,NEG
South Carolina,"19,269,760","15,570,166","387,017",2.5
South Dakota,"48,566,400","37,939,910","112,892",0.3
Tennessee,"26,378,880","21,324,793","361,498",1.7
Texas,"167,550,080","153,626,848","2,894,563",1.9
Utah,"52,572,160","11,438,482","87,680",0.8
Vermont,"5,920,000","5,029,649","76,990",1.5
Virginia,"25,340,160","20,577,489","126,544",0.6
Washington,"42,588,160","22,014,053","1,671,102",7.6
West Virginia,"15,409,920","13,238,151","82,794",0.6
Wisconsin,"34,758,400","25,855,696","225,674",0.9
Wyoming,"62,144,000","25,067,954","313,743",1.3
TOTAL,"2,263,922,560","1,290,472,010","25,715,588",2
