Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
Argentina,62,85,"68,096","315,717"
Australia,33,46,"70,227","136,472"
Austria,60,119,"155,085","101,715"
Bahamas,37,51,"54,594","87,192"
Belgium,97,139,"124,376","53,939"
Belize,6,9,"1,183","2,626"
Bermuda,46,55,"28,960","40,631"
Bolivia,2,2,11,47
Brazil,15,27,"13,250","22,353"
Cambodia,1,1,31,80
Canada,"1,519","2,235","4,444,983","4,375,689"
Cayman Islands,44,70,"492,335","579,676"
Channel Islands,5,11,"4,458","56,868"
Chile,7,11,"2,097","7,366"
China,72,253,"191,141","1,844,474"
Colombia,40,54,"11,990","23,228"
Cook Islands,12,23,"14,355","102,959"
Costa Rica,8,10,"13,835","12,212"
Cote D'ivoire,1,1,119,100
Croatia,1,1,160,115
Cuba,3,4,58,"1,374"
Cyprus,1,3,567,"6,064"
Czech Republic,2,2,347,27
Denmark,34,93,"351,023","650,253"
Dominican Republic,3,3,29,128
Ecuador,19,25,481,"6,334"
Egypt,16,17,"1,540","7,296"
El Salvador,5,5,406,"1,495"
Finland,1,1,80,119
France,167,324,"490,075","1,080,256"
Gambia,1,1,294,118
Germany,"1,075","2,252","1,026,851","2,734,152"
Gibraltar,3,4,678,"5,118"
Greece,16,22,"61,882","15,573"
Guatemala,13,14,"5,870","20,974"
Guyana,1,1,35,180
Honduras,13,14,"1,063","6,912"
Hong Kong,60,79,"10,164","46,544"
Hungary,1,1,103,80
India,21,23,"2,912","7,345"
Indonesia,2,2,718,655
Iran (Islamic Republic Of),22,25,"2,463","6,906"
Ireland,29,232,"73,945","119,035"
Israel,10,13,"2,097","12,632"
Italy,151,"3,721","1,202,804","3,148,326"
Jamaica,4,4,567,470
Japan,137,211,"280,914","809,536"
Jordan,18,23,"1,947","15,481"
Kenya,1,1,91,256
"Korea, Republic of",22,22,"2,373","12,592"
Kuwait,10,15,"19,822","11,888"
Laos,1,1,31,208
Lebanon,30,39,"10,449","18,727"
Liberia,13,15,"8,985","8,426"
Liechtenstein,107,174,"121,065","253,688"
Lithuania,1,1,27,32
Luxembourg,12,41,"105,553","161,734"
Malaysia,8,13,"9,253","25,233"
Mexico,254,337,"260,820","171,824"
Morocco,1,4,875,"9,745"
Namibia,1,2,106,703
Nepal,2,6,"5,357","3,354"
Netherlands,689,"1,285","4,372,634","5,797,778"
New Zealand,14,59,"33,971","1,627,438"
Nicaragua,3,4,"1,378","3,174"
Norway,17,17,"4,895","5,069"
Oman,2,5,454,"2,478"
Pakistan,9,12,"1,677","2,222"
Panama,114,145,"110,665","172,424"
Peru,20,21,388,"1,426"
Philippines,31,40,"3,760","7,262"
Poland,3,3,305,615
Portugal,98,744,"1,334,993","2,544,707"
Russian Federation,5,8,834,"3,036"
Saint Vincent and the Grenadines,2,4,"2,637","4,056"
Saudi Arabia,42,54,"18,347","162,623"
Singapore,10,11,"2,456","9,100"
Somalia,1,1,11,28
South Africa,14,16,"2,413","9,514"
Spain,52,172,"199,450","287,498"
State of Palestine,1,1,"11,421","9,127"
Sweden,59,101,"139,933","212,533"
Switzerland,365,535,"293,513","354,008"
Syrian Arab Republic,6,7,"2,574","4,147"
"Tanzania, United Republic of",1,1,59,649
Thailand,8,10,"1,785","12,604"
Trinidad and Tobago,3,3,94,371
Turkey,1,1,38,145
Turks and Caicos Islands,9,13,"3,292","3,283"
United Arab Emirates,12,41,"6,679","366,428"
United Kingdom,295,614,"710,127","830,776"
United States,1,1,510,"2,500"
Uruguay,10,16,"22,535","57,903"
Venezuela,98,167,"25,372","93,143"
Viet Nam,1,1,152,930
Virgin Islands (British),46,76,"74,850","116,501"
Zimbabwe,1,1,230,80
998 - No Foreign Investor Listed,64,241,"270,800","2,048,609"
999 - No Predominant Country Code,73,148,"374,354","611,633"
Subtotal 2/,"6,539","15,572","17,785,595","32,511,071"
US/Andorra,1,1,"3,741","1,300"
US/Argentina,7,13,"5,346","10,616"
US/Australia,24,49,"17,846","46,577"
US/Austria,20,111,"23,091","32,811"
US/Bahamas,19,43,"42,050","79,383"
US/Barbados,1,2,82,739
US/Belgium,33,263,"116,878","134,605"
US/Belize,1,2,252,660
US/Bermuda,19,52,"14,515","13,385"
US/Brazil,8,66,"16,320","44,446"
US/Canada,368,"1,565","2,428,373","3,301,576"
US/Cayman Islands,14,31,"34,500","55,484"
US/Channel Islands,2,10,"1,268","6,296"
US/Chile,2,4,"9,948","1,374"
US/China,61,83,"55,575","80,700"
US/Colombia,16,32,"27,575","55,464"
US/Costa Rica,4,4,"1,092","7,246"
US/Denmark,20,54,"363,536","375,486"
US/Dominican Republic,1,1,589,825
US/Ecuador,4,4,"2,082","3,335"
US/Egypt,6,19,"3,061","5,913"
US/El Salvador,2,2,52,638
US/Finland,7,115,"209,669","24,295"
US/France,144,942,"594,761","753,080"
US/Germany,256,"1,071","826,523","1,013,201"
US/Greece,4,5,"5,664","66,530"
US/Guatemala,2,3,412,"1,018"
US/Guyana,1,2,334,284
US/Honduras,1,1,37,825
US/Hong Kong,20,25,"130,694","42,952"
US/India,4,13,"4,145","17,698"
US/Indonesia,20,63,"9,014","136,576"
US/Iran (Islamic Republic Of),5,6,"1,861","5,509"
US/Iraq,1,1,800,560
US/Ireland,19,109,"672,745","288,825"
US/Israel,4,5,505,"12,225"
US/Italy,36,70,"89,640","89,862"
US/Japan,233,438,"352,460","2,066,077"
US/Jordan,2,2,284,"6,500"
US/Kenya,1,1,32,360
"US/Korea, Republic of",5,7,677,"10,925"
US/Kuwait,6,12,"7,558","11,994"
