Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)",
Argentina,65,89,"68,821","320,279",
Australia,87,159,"159,037","276,242",
Austria,68,146,"215,529","217,104",
Bahamas,38,53,"54,786","87,402",
Belgium,103,160,"237,020","122,059",
Belize,6,9,"1,183","2,626",
Bermuda,47,56,"29,003","44,017",
Bolivia,2,2,11,47,
Brazil,16,28,"13,527","22,625",
Cambodia,9,11,"2,980","1,220",
Canada,"1,749","11,534","9,357,563","7,291,172",
Cayman Islands,49,89,"614,424","844,076",
Channel Islands,6,12,"4,542","57,018",
Chile,8,12,"2,507","9,005",
China,82,266,"194,179","1,864,379",
Colombia,40,54,"11,990","23,228",
Cook Islands,12,24,"14,515","104,290",
Costa Rica,8,10,"13,835","12,212",
Cote D'ivoire,1,1,119,100,
Croatia,1,1,160,115,
Cuba,4,8,858,"1,378",
Cyprus,1,3,567,"6,064",
Czech Republic,2,2,347,27,
Denmark,50,193,"444,342","718,418",
Dominican Republic,3,3,29,128,
Ecuador,19,25,481,"6,334",
Egypt,17,18,"17,645","54,450",
El Salvador,5,5,406,"1,495",
Finland,1,1,80,119,
France,183,672,"643,710","1,368,772",
Gambia,1,1,294,118,
Germany,"1,126","2,400","1,197,483","4,097,866",
Gibraltar,3,4,678,"5,118",
Greece,16,22,"61,882","15,573",
Guatemala,13,14,"5,870","20,974",
Guyana,1,1,35,180,
Honduras,13,14,"1,063","6,912",
Hong Kong,62,81,"11,909","46,607",
Hungary,1,1,103,80,
India,21,23,"3,034","7,128",
Indonesia,2,2,718,655,
Iran (Islamic Republic Of),22,25,"2,463","6,906",
Ireland,32,241,"85,563","137,432",
Israel,10,13,"2,097","12,632",
Italy,294,"7,967","2,609,016","5,364,951",
Jamaica,4,4,567,470,
Japan,145,225,"279,744","818,803",
Jordan,17,22,"1,874","15,306",
Kenya,1,1,91,256,
"Korea, Republic of",27,28,"2,925","14,682",
Kuwait,11,18,"24,784","24,288",
Laos,1,1,31,208,
Lebanon,31,40,"10,461","19,107",
Liberia,13,15,"8,985","8,426",
Liechtenstein,108,176,"123,262","256,038",
Lithuania,1,1,27,32,
Luxembourg,33,143,"503,837","1,007,446",
Malaysia,10,15,"9,438","26,854",
Mauritius,1,1,622,"14,722",
Mexico,275,367,"278,949","237,217",
Morocco,1,4,875,"9,745",
Namibia,1,2,106,703,
Nepal,2,6,"5,357","3,354",
Netherlands,716,"1,380","4,448,077","6,056,005",
Netherlands Antilles,1,1,"17,110","2,262",
New Zealand,17,62,"35,245","1,631,628",
Nicaragua,3,4,"1,378","3,174",
Norway,17,17,"4,981","6,306",
Oman,2,5,454,"2,478",
Pakistan,9,12,"1,677","2,222",
Panama,115,146,"110,893","173,899",
Peru,20,21,388,"1,426",
Philippines,31,40,"3,760","7,262",
Poland,5,7,"3,655","3,814",
Portugal,126,958,"1,462,729","3,314,023",
Russian Federation,5,8,834,"3,036",
Saint Vincent and the Grenadines,2,4,"2,637","4,056",
Saudi Arabia,44,56,"18,586","163,748",
Singapore,11,12,"3,140","11,348",
Somalia,1,1,11,28,
South Africa,16,18,"10,732","215,089",
Spain,57,199,"257,153","466,961",
State of Palestine,1,1,"11,421","9,127",
Sweden,61,115,"182,778","300,294",
Switzerland,377,558,"313,122","680,145",
Syrian Arab Republic,6,7,"2,574","4,147",
"Tanzania, United Republic of",1,1,59,649,
Thailand,8,10,"1,785","12,604",
Trinidad and Tobago,3,3,94,371,
Turkey,1,1,38,145,
Turks and Caicos Islands,9,13,"3,292","3,283",
United Arab Emirates,13,43,"46,496","373,765",
United Kingdom,449,"1,241","1,333,389","3,153,607",
United States,3,5,"1,715","5,839",
Uruguay,13,20,"42,091","123,863",
Uzbekistan,1,1,40,420,
Venezuela,100,170,"28,058","116,657",
Vietnam,1,1,152,930,
Virgin Islands (British),58,89,"82,355","147,054",
Zimbabwe,1,1,230,80,
998 - No Foreign Investor Listed,153,698,"762,451","6,125,518",
999 - No Predominant Country Code,100,208,"714,774","1,040,633",
Subtotal 2/,,"7,538","31,661","27,248,692","49,805,086"
US/Andorra,,1,1,"3,741","1,300"
US/Argentina,,9,15,"4,922","10,138"
US/Australia,,25,50,"23,059","55,032"
US/Austria,,21,113,"23,427","33,517"
US/Bahamas,,19,43,"42,050","79,383"
US/Barbados,,1,2,82,739
US/Belgium,,34,281,"118,976","174,150"
US/Belize,,1,2,252,660
US/Bermuda,,19,50,"14,354","13,183"
US/Brazil,,8,65,"16,294","44,415"
US/Canada,,401,"1,747","3,003,524","4,213,486"
US/Cayman Islands,,18,50,"41,032","100,597"
US/Channel Islands,,2,10,"1,268","6,296"
US/Chile,,2,4,"9,948","1,374"
US/China,,63,89,"157,961","171,875"
US/Colombia,,16,32,"27,575","55,464"
US/Cook Islands,,1,3,797,"7,078"
US/Costa Rica,,4,4,"1,092","7,246"
US/Denmark,,21,54,"360,812","371,826"
US/Dominican Republic,,1,1,589,825
US/Ecuador,,4,4,"2,082","3,335"
US/Egypt,,6,19,"3,061","5,913"
US/El Salvador,,2,2,52,638
US/Finland,,9,119,"227,016","83,110"
US/France,,149,958,"596,029","764,765"
US/Germany,,281,"1,146","865,923","1,130,987"
US/Greece,,4,5,"5,389","66,530"
US/Guatemala,,2,3,412,"1,018"
US/Guyana,,2,3,"1,012","4,819"
US/Honduras,,1,1,37,825
US/Hong Kong,,20,25,"130,694","42,952"
US/India,,7,16,"4,610","20,315"
US/Indonesia,,20,62,"8,515","132,829"
US/Iran (Islamic Republic Of),,5,6,"1,861","5,509"
US/Iraq,,1,1,800,560
US/Ireland,,23,114,"674,005","293,263"
US/Israel,,4,5,505,"12,225"
US/Italy,,42,78,"93,855","95,144"
US/Japan,,239,450,"355,522","2,087,039"
US/Jordan,,2,2,284,"6,500"
US/Kenya,,1,1,32,360
"US/Korea, Republic of",,6,8,938,"11,675"
US/Kuwait,,6,12,"7,558","11,994"
US/Lebanon,,4,5,411,"1,451"
US/Liberia,,14,17,"45,683","16,815"
US/Libyan Arab Jamahiriya,,2,3,280,"2,500"
US/Liechtenstein,,50,87,"70,417","103,899"
US/Luxembourg,,31,58,"285,044","798,832"
US/Malaysia,3,7,"5,775","10,248",
US/Malta,1,1,500,750,
US/Mexico,68,143,"414,466","988,879",
US/Netherlands,218,523,"496,623","755,431",
US/New Zealand,3,4,"49,403","4,026",
US/Nicaragua,1,2,282,397,
US/Norway,7,47,"13,279","36,439",
US/Pakistan,1,1,423,485,
US/Panama,52,69,"49,522","72,336",
US/Paraguay,1,1,236,270,
US/Peru,1,1,100,280,
US/Philippines,10,11,"6,863","3,692",
US/Portugal,3,4,"7,166","3,270",
US/Qatar,1,1,219,"2,180",
US/Saudi Arabia,28,58,"17,393","103,777",
US/Singapore,9,129,"109,903","320,013",
US/South Africa,7,10,"9,818","23,521",
US/Spain,31,107,"44,753","54,656",
US/Sweden,15,42,"171,315","1,495,567",
US/Switzerland,214,485,"369,044","406,213",
US/Thailand,3,6,"2,486","5,966",
US/Trinidad and Tobago,1,1,20,200,
US/Turkey,1,3,443,360,
US/United Arab Emirates,2,4,"1,250","2,920",
US/United Kingdom,255,744,"996,563","1,244,028",
US/Uruguay,2,2,655,960,
US/Vanuatu,1,1,883,"1,790",
US/Venezuela,38,57,"61,560","65,024",
US/Vietnam,1,1,11,"10,100",
US/Virgin Islands (British),20,41,"287,965","74,007",
US/998 - No Foreign Investor Listed,53,178,"434,537","681,747",
US/999 - No Predominant Country Code,69,152,"290,104","424,172",
Subtotal 3/,"2,724","8,662","11,077,343","17,848,086",
Total All Landholdings,"10,262","40,323","38,326,035","67,653,172",
