Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
Argentina,50,60,"28,221","92,622"
Australia,30,42,"67,817","133,540"
Austria,61,118,"153,290","98,670"
Bahamas,36,50,"54,177","73,372"
Belgium,97,139,"124,376","53,939"
Belize,5,8,573,226
Bermuda,46,55,"28,960","40,631"
Bolivia,2,2,11,47
Brazil,16,27,"13,250","22,353"
Cambodia,1,1,31,80
Canada,"1,480","2,186","4,911,740","5,386,689"
Cayman Islands,42,62,"167,840","214,399"
Channel Islands,5,11,"4,458","56,868"
Chile,7,11,"2,097","7,366"
China,68,197,"42,164","895,589"
Colombia,40,54,"11,990","23,228"
Cook Islands,13,22,"10,702","67,727"
Costa Rica,8,10,"13,835","12,212"
Cote D'ivoire,1,1,119,100
Croatia,1,1,160,115
Cuba,3,4,58,"1,374"
Cyprus,1,2,516,"3,744"
Czech Republic,2,2,347,27
Denmark,36,102,"428,279","605,372"
Dominican Republic,3,3,29,128
Ecuador,19,25,481,"6,334"
Egypt,16,17,"1,540","7,296"
El Salvador,5,5,406,"1,495"
Finland,1,1,80,119
France,159,314,"432,461","555,545"
Gambia,1,1,294,118
Germany,"1,078","2,233","1,002,607","2,524,729"
Gibraltar,3,4,678,"5,118"
Greece,16,22,"61,882","15,573"
Guatemala,12,13,"1,233","3,674"
Guyana,1,1,35,180
Honduras,12,12,"1,018","6,462"
Hong Kong,60,79,"10,164","46,544"
Hungary,1,1,103,80
India,17,19,"2,040","6,569"
Indonesia,2,2,718,655
Iran (Islamic Republic Of),22,25,"2,463","6,906"
Ireland,27,229,"53,274","81,324"
Israel,10,13,"2,097","12,632"
Italy,123,"3,726","1,117,870","3,144,072"
Jamaica,4,4,567,470
Japan,138,212,"281,491","812,294"
Jordan,18,23,"1,947","15,481"
Kenya,1,1,91,256
"Korea, D.P.R.O.",6,6,469,"1,890"
"Korea, Republic of",22,22,"2,373","12,592"
Kuwait,10,15,"19,823","11,888"
Laos,1,1,31,208
Lebanon,30,39,"10,449","18,727"
Liberia,13,15,"8,985","8,426"
Liechtenstein,107,172,"120,135","246,165"
Lithuania,1,1,27,32
Luxembourg,12,25,"54,127","92,079"
Malaysia,5,10,"8,277","14,748"
Mexico,253,334,"258,726","166,369"
Morocco,1,4,875,"9,745"
Namibia,1,2,106,703
Nepal,2,6,"5,357","3,354"
Netherlands,695,"1,285","4,419,122","5,798,668"
New Zealand,14,60,"33,977","1,627,788"
Nicaragua,3,4,"1,378","3,174"
Norway,18,18,"5,229","5,324"
Oman,2,5,454,"2,478"
Pakistan,9,12,"1,677","2,222"
Panama,112,140,"109,297","167,210"
Peru,20,21,388,"1,426"
Philippines,31,40,"3,760","7,262"
Poland,3,3,305,615
Portugal,86,622,"1,252,860","2,256,177"
Russian Federation,5,8,834,"3,036"
Saint Vincent and the Grenadines,2,4,"2,637","4,056"
Saudi Arabia,42,54,"18,347","162,623"
Singapore,5,5,626,"5,505"
Somalia,1,1,11,28
South Africa,13,15,"2,387","9,014"
Spain,52,166,"185,039","226,794"
Swaziland,1,2,208,"1,487"
Sweden,47,79,"131,884","173,383"
Switzerland,366,523,"288,840","321,446"
Syrian Arab Republic,6,7,"2,574","4,147"
"Tanzania, United Republic of",1,1,59,649
Thailand,8,10,"1,785","12,604"
Trinidad and Tobago,3,3,94,371
Turkey,1,1,38,145
Turks and Caicos Islands,9,13,"3,292","3,283"
United Arab Emirates,12,41,"6,679","366,428"
United Kingdom,293,581,"660,669","731,611"
United States,1,1,510,"2,500"
Uruguay,7,11,"18,509","47,385"
Venezuela,98,163,"25,091","89,228"
Viet Nam,1,1,152,930
Virgin Islands (British),43,71,"70,848","93,874"
Zimbabwe,1,1,230,80
998 ‐ No Foreign Investor Listed,42,141,"106,235","265,108"
999 ‐ No Predominant Country Code,65,118,"177,528","262,804"
Subtotal 2/,"6,382","15,035","17,063,893","28,292,133"
US/Andorra,1,1,"3,741","1,300"
US/Argentina,7,13,"5,346","10,616"
US/Australia,25,51,"44,496","112,579"
US/Austria,22,111,"23,211","31,881"
US/Bahamas,19,43,"42,050","79,383"
US/Barbados,1,2,82,739
US/Belgium,33,232,"114,038","109,052"
US/Belize,1,2,252,660
US/Bermuda,19,53,"15,469","13,905"
US/Brazil,8,65,"16,047","35,646"
US/Canada,364,"1,508","2,365,409","2,962,148"
US/Cayman Islands,14,30,"34,020","50,924"
US/Channel Islands,3,11,"1,910","11,814"
US/Chile,2,4,"9,948","1,374"
US/China,61,83,"55,575","80,700"
US/Colombia,16,32,"27,575","55,464"
US/Costa Rica,4,4,"1,092","7,246"
US/Denmark,20,69,"457,808","471,056"
US/Dominican Republic,1,1,589,825
US/Ecuador,4,4,"2,082","3,335"
US/Egypt,6,19,"3,061","5,913"
US/El Salvador,2,2,52,638
US/Finland,8,114,"209,629","24,286"
US/France,143,879,"611,948","759,665"
US/Germany,261,"1,069","827,451","1,014,751"
US/Greece,4,5,"5,664","66,530"
US/Guatemala,2,3,412,"1,018"
US/Guyana,1,2,334,284
US/Honduras,1,1,37,825
US/Hong Kong,20,25,"130,694","42,952"
US/India,3,8,"1,820","5,455"
US/Indonesia,21,67,"10,073","151,920"
US/Iran (Islamic Republic Of),5,6,"1,861","5,509"
US/Iraq,1,1,800,560
US/Ireland,20,110,"672,758","288,844"
US/Israel,4,5,505,"12,225"
US/Italy,37,71,"89,890","92,412"
US/Japan,235,430,"352,354","2,069,290"
US/Jordan,2,2,284,"6,500"
US/Kenya,1,1,32,360
"US/Korea, Republic of",5,7,677,"10,925"
US/Kuwait,6,12,"7,558","11,994"
US/Lebanon,4,5,411,"1,451"
