Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
Argentina,41,47,"17,197","52,923"
Australia,30,42,"67,817","133,540"
Austria,61,117,"152,775","106,899"
Bahamas,36,50,"54,177","73,372"
Belgium,97,139,"124,376","53,939"
Belize,5,8,573,226
Bermuda,46,55,"28,960","40,631"
Bolivia,2,2,11,47
Brazil,12,22,"11,295","8,860"
Cambodia,1,1,31,80
Canada,"1,476","2,175","4,910,961","5,381,105"
Cayman Islands,38,44,"31,504","57,669"
Channel Islands,5,11,"4,458","56,868"
Chile,7,11,"2,097","7,366"
China,67,75,"13,720","81,425"
Colombia,40,54,"11,990","23,228"
Cook Islands,12,18,"3,303","10,881"
Costa Rica,8,10,"13,835","12,212"
Cote D'ivoire,1,1,119,100
Croatia,1,1,160,115
Cuba,3,4,58,"1,374"
Cyprus,1,2,516,"3,744"
Czech Republic,2,2,347,27
Denmark,42,177,"541,389","1,133,712"
Dominican Republic,3,3,29,128
Ecuador,19,25,481,"6,334"
Egypt,16,17,"1,540","7,296"
El Salvador,5,5,406,"1,495"
Finland,1,1,80,119
France,156,310,"426,175","553,560"
Gambia,1,1,294,118
Germany,"1,066","1,975","921,646","2,271,396"
Gibraltar,3,4,678,"5,118"
Greece,16,22,"61,882","15,573"
Guatemala,12,13,"1,233","3,674"
Guyana,1,1,35,180
Honduras,12,12,"1,018","6,462"
Hong Kong,60,79,"10,164","46,544"
Hungary,1,1,103,80
India,17,19,"2,040","6,569"
Indonesia,2,2,718,655
Iran (Islamic Republic Of),22,25,"2,463","6,906"
Ireland,28,230,"53,945","88,377"
Israel,10,13,"2,097","12,632"
Italy,126,"3,679","1,133,708","3,123,594"
Jamaica,4,4,567,470
Japan,137,210,"281,204","811,777"
Jordan,18,23,"1,947","15,481"
Kenya,1,1,91,256
"Korea, D.P.R.O.",6,6,469,"1,890"
"Korea, Republic of",22,22,"2,373","12,592"
Kuwait,10,15,"19,823","11,888"
Laos,1,1,31,208
Lebanon,30,39,"10,449","18,727"
Liberia,13,15,"8,985","8,426"
