Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)",
Argentina,63,86,"67,936","315,259",
Australia,35,47,"65,172","113,649",
Austria,61,123,"157,989","107,799",
Bahamas,38,53,"54,786","87,402",
Belgium,100,143,"125,286","58,524",
Belize,6,9,"1,183","2,626",
Bermuda,47,56,"29,003","44,017",
Bolivia,2,2,11,47,
Brazil,15,27,"13,250","22,353",
Cambodia,1,1,31,80,
Canada,"1,595","2,457","4,767,677","4,620,652",
Cayman Islands,45,74,"571,732","709,903",
Channel Islands,6,12,"4,542","57,018",
Chile,7,11,"2,097","7,366",
China,77,258,"191,350","1,853,346",
Colombia,40,54,"11,990","23,228",
Cook Islands,13,24,"14,452","103,134",
Costa Rica,8,10,"13,835","12,212",
Cote D'ivoire,1,1,119,100,
Croatia,1,1,160,115,
Cuba,3,4,58,"1,374",
Cyprus,1,3,567,"6,064",
Czech Republic,2,2,347,27,
Denmark,36,96,"353,904","651,703",
Dominican Republic,3,3,29,128,
Ecuador,19,25,481,"6,334",
Egypt,16,17,"1,540","7,296",
El Salvador,5,5,406,"1,495",
Finland,1,1,80,119,
France,170,333,"495,017","1,082,721",
Gambia,1,1,294,118,
Germany,"1,105","2,336","1,059,777","2,840,752",
Gibraltar,3,4,678,"5,118",
Greece,16,22,"61,882","15,573",
Guatemala,13,14,"5,870","20,974",
Guyana,1,1,35,180,
Honduras,13,15,"1,130","7,586",
Hong Kong,60,79,"10,164","46,544",
Hungary,1,1,103,80,
India,21,23,"3,034","7,128",
Indonesia,2,2,718,655,
Iran (Islamic Republic Of),22,25,"2,463","6,906",
Ireland,32,241,"85,563","137,432",
Israel,10,13,"2,097","12,632",
Italy,215,"5,645","1,818,721","3,955,333",
Jamaica,4,4,567,470,
Japan,141,221,"279,509","812,397",
Jordan,18,23,"1,947","15,481",
Kenya,1,1,91,256,
"Korea, Republic of",27,28,"2,925","14,682",
Kuwait,10,15,"19,822","11,888",
Laos,1,1,31,208,
Lebanon,30,39,"10,449","18,727",
Liberia,13,15,"8,985","8,426",
Liechtenstein,108,176,"123,264","256,044",
Lithuania,1,1,27,32,
Luxembourg,22,75,"379,158","792,277",
Malaysia,8,13,"9,253","25,233",
Mauritius,1,1,622,"14,722",
Mexico,264,350,"262,274","176,262",
Morocco,1,4,875,"9,745",
Namibia,1,2,106,703,
Nepal,2,6,"5,357","3,354",
Netherlands,704,"1,345","4,447,450","6,061,624",
Netherlands Antilles,1,1,"17,110","2,262",
New Zealand,16,61,"35,129","1,630,628",
Nicaragua,3,4,"1,378","3,174",
Norway,17,17,"4,981","6,306",
Oman,2,5,454,"2,478",
Pakistan,9,12,"1,677","2,222",
Panama,115,146,"110,893","173,899",
Peru,20,21,388,"1,426",
Philippines,31,40,"3,760","7,262",
Poland,5,9,"4,509","4,211",
Portugal,108,820,"1,367,671","2,692,120",
Russian Federation,5,8,834,"3,036",
Saint Vincent and the Grenadines,2,4,"2,637","4,056",
Saudi Arabia,43,55,"18,439","163,123",
Singapore,8,9,"1,188","10,955",
Somalia,1,1,11,28,
South Africa,15,17,"10,705","215,014",
Spain,54,179,"210,454","311,546",
State of Palestine,1,1,"11,421","9,127",
Sweden,60,118,"217,275","381,380",
Switzerland,370,542,"296,985","364,617",
Syrian Arab Republic,6,7,"2,574","4,147",
"Tanzania, United Republic of",1,1,59,649,
Thailand,8,10,"1,785","12,604",
Trinidad and Tobago,3,3,94,371,
