Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)",
US/Guyana,,1,2,334,284
US/Honduras,,1,1,37,825
US/Hong Kong,,20,25,"130,694","42,952"
US/India,,4,13,"4,145","17,698"
US/Indonesia,,20,63,"9,014","136,576"
US/Iran (Islamic Republic Of),,5,6,"1,861","5,509"
US/Iraq,,1,1,800,560
US/Ireland,,19,109,"672,745","288,825"
US/Israel,,4,5,505,"12,225"
US/Italy,,37,71,"89,800","90,214"
US/Japan,,235,443,"353,314","2,075,711"
US/Jordan,,2,2,284,"6,500"
US/Kenya,,1,1,32,360
"US/Korea, Republic of",,6,8,938,"11,675"
US/Kuwait,,6,12,"7,558","11,994"
US/Lebanon,,4,5,411,"1,451"
US/Liberia,,14,17,"45,683","16,815"
US/Libyan Arab Jamahiriya,,2,3,280,"2,500"
US/Liechtenstein,,50,87,"70,414","103,891"
US/Luxembourg,,29,53,"262,758","758,681"
US/Malaysia,,3,7,"5,775","10,248"
US/Malta,1,1,500,750,
US/Mexico,64,137,"414,270","986,546",
US/Netherlands,214,513,"488,951","735,844",
US/New Zealand,3,4,"49,403","4,026",
US/Nicaragua,1,2,282,397,
US/Norway,7,47,"13,279","36,439",
US/Pakistan,1,1,423,485,
US/Panama,51,68,"49,522","72,331",
US/Paraguay,1,1,236,270,
US/Peru,1,1,100,280,
US/Philippines,10,11,"6,863","3,692",
US/Portugal,2,3,"6,733","3,269",
US/Qatar,1,1,219,"2,180",
US/Saudi Arabia,28,58,"17,393","103,777",
US/Singapore,6,109,"106,483","257,930",
US/South Africa,7,10,"9,818","23,521",
US/Spain,26,102,"39,441","46,262",
US/Sweden,14,39,"31,308","924,526",
US/Switzerland,210,481,"367,366","377,564",
US/Thailand,3,6,"2,486","5,966",
US/Trinidad and Tobago,1,1,20,200,
US/Turkey,1,3,753,752,
US/United Arab Emirates,2,4,"1,250","2,920",
US/United Kingdom,256,771,"999,472","1,251,002",
US/Uruguay,2,2,655,960,
US/Vanuatu,1,1,883,"1,790",
US/Venezuela,38,57,"61,560","65,024",
US/Viet Nam,1,1,11,"10,100",
US/Virgin Islands (British),18,38,"284,239","63,413",
US/998 - No Foreign Investor Listed,27,52,"198,254","180,710",
US/999 - No Predominant Country Code,61,132,"280,471","384,222",
Subtotal 3/,"2,593","8,213","10,067,226","15,453,795",
Total All Landholdings,"9,258","24,946","29,018,035","52,231,323",
